Dates,7/3/2025,Place,Driving Ranges,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,
Club,Index,Ball Speed(mph),Launch Direction,Launch Angle,Spin Rate,Spin Axis,Back Spin,Side Spin,Apex(yd),Carry(yd),Total(yd),Offline(yd),Landing Angle,Club Path,Face Angle,Attack Angle, Dynamic Loft
56-Degree,0,62.6,-3.3,39,7351,9.8,7243,1255,19.2,65.8,66.4,-0.1,51.3,0,0,0,0
56-Degree,1,63.8,-5.7,38.5,7125,9.1,7035,1131,19.7,68.1,68.8,-2.9,51.1,0,0,0,0
56-Degree,2,65.5,-6.1,38.4,7646,12.6,7460,1673,20.7,70.4,70.9,-1.8,51.7,0,0,0,0
S-Wedge,2,58.5,20.7,21.8,9752,-10.1,9602,-1707,7.4,56.5,60.6,16.2,31.5,-7.6,27,1,28.2
S-Wedge,2,67.5,-4.1,36.8,8865,8.8,8760,1363,21.1,73.6,73.6,-0.8,51.2,0,0,0,0
S-Wedge,2,71,-5.4,38.7,7212,11.1,7077,1391,24.4,78.8,79.3,-1.3,53.3,0,0,0,0
S-Wedge,0,81.4,-3.5,32.8,7963,7.1,7901,988,27,97.7,98.2,-0.4,51.4,-7.4,-2.5,2,42.5
S-Wedge,0,70.3,-3.4,36,9093,2.6,9083,411,22.5,78.3,78.2,-3,51.4,0,0,0,0
S-Wedge,0,71,-9,36.3,10557,9.8,10402,1799,23.1,77.5,77.2,-6,52.3,0,0,0,0
S-Wedge,1,75.6,-6,32.1,4591,0.2,4591,14,22.1,92.4,95.3,-8.8,48.5,-6,-6,2.4,41.3
S-Wedge,1,63.7,-2.9,37.7,7128,5,7100,623,19.1,68.6,69.2,-1.3,50.5,0,0,0,0
S-Wedge,1,71.5,-4.1,37.3,8723,6.5,8668,981,24.2,79.3,79.3,-1.8,52.7,0,0,0,0
G-Wedge,2,64.2,-3,37.4,8262,11,8110,1573,19.3,68.6,69,0.9,50.5,0,0,0,0
G-Wedge,2,79,-3.1,32,10862,12.1,10620,2284,24.9,91.7,91.3,3.7,51.1,-6.9,-2.1,2.2,41.3
G-Wedge,2,80.4,-3.9,33.6,6879,10.7,6760,1273,26.6,96.4,97.4,1,51.5,-6.1,-3.4,1.8,43.6
G-Wedge,1,63.4,-3.7,39,7352,1.3,7350,165,19.8,67.1,67.7,-3.5,51.6,0,0,0,0
G-Wedge,1,73.8,-5.5,31.3,4823,4.5,4808,380,20.3,89,92.3,-5.7,47.1,-6.9,-5.1,2.5,40.2
G-Wedge,1,81.3,-7.8,31.7,7566,4.6,7542,605,25.8,98.6,99.4,-9.2,50.3,-9.3,-7.5,1.3,41.3
G-Wedge,0,56.5,-2.2,39.7,6652,7.7,6593,888,15.9,56.3,57.2,0,50.1,0,0,0,0
G-Wedge,0,72.8,-4.6,30.8,4872,4.3,4858,366,19.3,87.1,90.3,-4.4,46.3,-5.5,-4.3,2.4,39.7
G-Wedge,0,72,-4.9,32.9,4465,9.8,4401,757,20.4,85.8,88.8,-2.6,48.1,-8.2,-4.1,3,42.2
P-Wedge,2,77.8,-3.9,30,3847,8.1,3809,540,21.4,98.7,103.8,-2,45.9,-7.8,-2.7,2.6,38.7
P-Wedge,2,82.9,-1.6,31.3,6237,13,6077,1405,25.9,102,103.8,6.2,50,-8.2,0.1,2.1,40.5
P-Wedge,2,87.9,-5.8,31.3,4990,10.8,4901,939,29.5,113.2,115.3,-2.2,51.4,-9.5,-4.8,2.1,40.6
P-Wedge,1,83.8,-5.2,30.2,5865,5.9,5834,606,25.6,105,106.7,-4.6,49.4,-8.2,-4.4,2.1,39.1
P-Wedge,1,81.3,-4.9,29.1,3830,4.8,3817,323,22.7,105.8,111,-5.4,45.9,-5.1,-4.8,2.7,37.5
P-Wedge,1,80.7,-8.2,28.8,3966,-0.2,3966,-11,22.1,104.5,109.5,-13.7,45.7,-7.8,-8.3,2.3,37.3
P-Wedge,0,85.5,-5.1,29.9,5513,11.1,5409,1063,26.2,108.4,110.6,-1,49.5,-9.1,-4.1,2,38.8
P-Wedge,0,82.3,-3.8,30.5,7693,11.9,7527,1591,25.2,100.5,101.4,2.3,49.6,-10,-2.2,1.3,39.7
P-Wedge,0,82.8,-5.8,30.4,4467,0.7,4466,56,25.3,106.5,109.9,-9.4,49,-6.3,-5.7,2.4,39.3
9 Iron,2,87.1,-6.4,29.2,5449,6.2,5417,589,26.9,111.9,114.3,-6.9,49.5,0,0,0,0
9 Iron,2,91.9,-2.7,27.8,5915,13.8,5743,1413,28.1,119,121,6.5,49.5,0,0,0,0
9 Iron,0,91.5,-3.8,29.7,5453,16.9,5219,1580,29.9,118.7,120.7,6.7,51,0,0,0,0
9 Iron,1,82.7,-7.1,27.5,5246,-3.9,5233,-358,22.2,105.1,108.2,-14.3,46.2,0,0,0,0
9 Iron,1,88.6,-4.9,27.4,4962,7.7,4917,664,25.8,116.8,120.1,-3.4,48,0,0,0,0
9 Iron,2,93,-5.5,26.6,5721,6.5,5684,648,27.8,122.7,125.1,-5.1,48.8,0,0,0,0
9 Iron,0,81,-4.5,27.9,5023,8.6,4967,747,21.5,102.2,106,-2.3,46,0,0,0,0
9 Iron,0,81.9,-7,26.1,3235,1.8,3233,99,19.7,108.3,117.1,-11.2,40.7,0,0,0,0
9 Iron,1,89.7,-4.2,27.3,4449,17.9,4235,1365,25.8,119.6,123.9,5.2,47.3,0,0,0,0
8 Iron,2,90.7,-4.4,25.1,5627,15,5435,1455,24.1,118.4,121.5,3.3,46.1,0,0,0,0
8 Iron,2,93.6,-6.4,23.2,2841,7.5,2817,373,22.7,132.6,143.1,-8.1,39.9,0,0,0,0
8 Iron,2,93.3,-5.1,26.2,4165,10.1,4101,731,27.1,128.4,133.2,-2.1,46.6,0,0,0,0
8 Iron,1,91.1,-3.7,25.7,6012,14.6,5818,1512,25.1,118.2,120.9,4.7,47.1,0,0,0,0
8 Iron,1,97.4,-6.3,22.7,3655,4.9,3642,314,25,138.9,146.8,-9.6,42,0,0,0,0
8 Iron,1,99.3,-3.3,25.2,5273,15,5093,1363,30,135.5,138.6,7.6,48.8,0,0,0,0
8 Iron,0,84.8,-8.1,24.7,2962,-5.2,2950,-268,19.5,114.2,124.5,-17.5,39.1,0,0,0,0
8 Iron,0,91.2,-4.6,25.2,3491,16.8,3343,1006,23.7,125.7,133.8,3,42.3,0,0,0,0
8 Iron,0,99.4,-7.6,22.8,4669,5.1,4650,415,27,139.8,144.7,-12,45.2,0,0,0,0
7 Iron,2,100.9,-2.3,23.1,3869,13.2,3767,881,27.5,144.8,151.7,7.3,43.6,-8.2,-0.9,2.1,30.2
7 Iron,2,91.1,-5.2,21.2,2257,23.7,2068,906,17.4,123.2,138.1,2.7,34.6,-7.2,-4.7,2.5,27.5
7 Iron,1,100.3,-7,21.6,3261,11.8,3192,666,24.5,144.7,154.3,-5.7,40.5,-11.8,-5.7,2.1,28.2
7 Iron,0,100.9,-0.4,24.7,4378,18.2,4160,1364,29.5,142,146.9,16.8,46.7,-5,0.7,2.3,32.1
7 Iron,1,91.4,-6,21.3,3250,8.2,3217,463,19.3,125.4,136.7,-6.4,37.4,0,0,0,0
7 Iron,0,101.9,-4.4,23.6,3952,17.1,3776,1164,28.4,146.2,152.6,6.7,44.4,-11.7,-2.5,1.9,30.8
7 Iron,1,90.8,0.8,24.9,3503,24,3202,1422,22.4,123.5,132.2,17.9,41.4,-4.8,2.2,2.7,32.2
7 Iron,0,92.5,-5.9,20.6,2232,22.1,2067,840,17.3,125.8,141.4,0.7,34,-10.3,-4.7,2.5,26.7
7 Iron,2,100.9,-7.7,21.9,4232,20.9,3952,1513,25.3,142.1,149.5,2,42.2,-12.3,-6.5,0.7,29
5 Iron,2,102.7,-0.9,16.6,3966,25,3594,1678,18,140,152.5,18.5,34.3,0,0,0,0
5 Iron,2,99.9,-2.1,16.6,2284,39.6,1760,1455,13.5,128,149.8,16.2,28.1,0,0,0,0
5 Iron,2,106.7,-8,16.1,2550,15.3,2459,673,18.5,154.1,170.7,-6.8,32.8,0,0,0,0
5 Iron,1,103.6,-4.2,17.9,2617,13.7,2542,622,20,150.1,164.5,1.3,35,0,0,0,0
5 Iron,1,103.6,-5.4,15.6,1631,15.1,1575,424,14.2,143.5,167.9,-3.8,27.1,0,0,0,0
5 Iron,1,111.7,-8.7,15.3,3018,13.5,2934,706,20.5,163.8,178,-9.2,34.6,0,0,0,0
5 Iron,0,98.9,-0.1,19.3,2451,19,2317,797,19.2,140.2,154.8,13.1,34.9,0,0,0,0
5 Iron,0,99.4,-5,15.5,1824,12.1,1783,381,13.3,133.5,156,-4.1,27.1,0,0,0,0
5 Iron,0,102.2,-3.2,17.8,2509,26.2,2251,1106,17.9,142.6,159.2,11.3,32.9,0,0,0,0
5 Hybrid,2,99.3,-3.9,21.7,4485,25.9,4036,1955,23.6,137.3,144.8,13.8,41.5,-10.6,-2.2,1.5,28.5
5 Hybrid,2,112.5,-9.2,20.2,4795,17.7,4568,1457,30.5,163.2,168.4,-1.9,45,-13.2,-8.2,0.5,26.9
5 Hybrid,1,100.2,-5,18,5301,26.5,4745,2364,19.4,133.8,142.1,11.5,37.8,-11,-3.5,1,23.7
5 Hybrid,1,107.6,-8.2,20.1,3644,16.6,3493,1038,26.4,157.2,166,-3.4,41.2,-9.9,-7.8,0.3,26.8
5 Hybrid,0,104.7,-5.9,20.5,5029,18.5,4769,1597,26.3,147.5,153.3,5.5,43.2,-11.4,-4.6,0.9,27.1
5 Hybrid,0,107.6,-8.5,20.1,3687,22.7,3402,1423,25.7,155.6,164.6,1.9,40.9,-12.1,-7.6,0.7,26.7
3 Hybrid,2,109.7,-4.6,18.3,4707,31.9,3995,2488,23.4,152.6,161.2,21,39.7,0,0,0,0
3 Hybrid,2,105.9,-9.2,18.4,2628,11.5,2575,522,22.2,156.8,169.9,-12.7,36.6,0,0,0,0
3 Hybrid,1,103.6,-1.8,17,1427,3,1425,73,15.9,149.2,172.3,-2.6,28.8,0,0,0,0
3 Hybrid,1,109.8,-6.4,17,2010,-2.5,2008,-87,20.5,165.6,182.5,-18.9,33.6,0,0,0,0
3 Hybrid,0,111.2,-7.2,18,4253,22.3,3935,1613,25,160.1,168.7,6.1,40.2,0,0,0,0
3 Hybrid,0,102.3,-8.2,18.3,2129,-12.9,2075,-475,19.1,147.8,164.3,-28.4,33.6,0,0,0,0
3 Wood,2,113.2,-4.6,17.3,2662,20.1,2501,913,23.4,169.8,183.3,7.7,36.5,-9.8,-3.3,1.8,22.8
3 Wood,2,112.4,-8.2,17.5,2892,29.1,2527,1407,22.2,163.5,177,6.2,36.1,-12.8,-7.1,1.3,23.1
3 Wood,1,109.9,-6.6,15.9,1639,15,1583,422,17,161.2,183.7,-6.4,29.3,-8.1,-6.2,2.1,20.9
3 Wood,1,117,-8.7,15.6,4911,15.8,4725,1339,25.7,169.7,177.2,-3.4,40.7,-12.3,-7.9,-0.2,21.1
3 Wood,0,119.6,-4.1,17.9,4458,21.3,4152,1623,29.7,176,182.8,17,43,0,0,0,0
3 Wood,0,122.7,-9.6,15,3025,16.4,2901,856,24.9,187.6,200.2,-8.1,37.1,0,0,0,0
